name,price,shipping,free_returns,items_sold,item_status
Garmin Forerunner 235 GPS Running Watch - Frost Blue | Certified Refurbished  ,15995,0,True,0,Certified - Refurbished
Garmin Venu Sq Music Fitness GPS Smartwatch - Light Sand/Rose Gold ,14900,0,False,0,Brand New
Garmin Fenix 6 Sapphire Multisport GPS Smartwatch Titanium w/ Ember Orange Band,32999,0,True,,Pre-Owned
NEW Garmin - fenix 6S Pro GPS Smartwatch 42mm Fiber-Reinforced Polymer - Black,39999,0,True,0,Brand New
Garmin Forerunner 35 GPS Running Watch & Activity Tracker - Frost Blue,9299,0,True,,Brand New
Garmin Instinct Solar Rugged Outdoor Watch with GPS - Flame Red ,21499,0,True,,Brand New
Garmin Forerunner 245 GPS Running Smartwatch w/ Slate Gray Band ISSUE,7999,0,True,,Pre-Owned
Garmin Instinct Solar Rugged GPS Smartwatch - Graphite 010-02293-10,12999,0,True,0,Pre-Owned
New ListingGarmin Forerunner 955 Premium GPS Running Smartwatch  - Black (‎010-02638-10),44499,0,False,,Brand New
Garmin Forerunner 920XT GPS Running Triathlon Multisport Watch  -  W/ Charger,11500,500,False,,Pre-Owned
Garmin Edge Explore Touring Bike Computer with GPS Capabilities 010-02029-00,10799,0,True,0,New (Other)
Garmin Fenix 7X Sapphire Solar Smartwatch - Black DLC Titanium with Black Band,99999,0,True,0,Brand New
New ListingGarmin Fenix 6 Pro Solar Edition 47mm Slate Gray Case with Black Band GPS Watch,37500,0,False,,Pre-Owned
Shop on eBay,2000,,False,,Brand New
"New ListingGarmin Fenix 6X Pro Solar - Titanium Carbon Gray DLC with Black Band(New,sealed)",52000,1000,False,,Brand New
Garmin Instinct Rugged GPS Smart Watch - Graphite,10999,545,False,,New (Other)
Car Truck GPS Navigation 7 Inch Touch Screen Garmin Maps Spoken Direction NavGO,9999,0,False,,Brand New
For Garmin Fenix 5 5S 5X Plus Watch USB Charging Data Cable Cradle Charger V5T2,899,0,False,166,Brand New
Garmin Instinct Solar Rugged GPS Smartwatch - Graphite 010-02293-10,12999,0,True,0,Pre-Owned
New ListingGarmin Forerunner 955 Premium GPS Running Smartwatch  - Black (‎010-02638-10),44499,0,False,,Brand New
